store,wk,event_name,users,hits
/popup/6699,2026-21,view_pass_store,57,66
/popup/6212,2026-21,view_pass_store,96,113
/popup/6851,2026-21,click_expand_spot_detail_images,60,66
/popup/6958,2026-20,click_expand_spot_detail_images,38,39
/popup/6178,2026-15,view_pass_store,108,140
/popup/6101,2026-15,view_pass_store,27,31
/popup/6188,2026-15,click_expand_spot_detail_images,125,145
/popup/4110,2025-43,view_pass_store,72,82
/popup/4284,2025-43,view_pass_store,74,91
/popup/5098,2026-01,view_pass_store,39,50
/popup/5698,2026-19,view_pass_store,21,24
/popup/6894,2026-19,view_pass_store,23,25
/popup/6303,2026-19,view_pass_store,50,53
/popup/5015,2026-19,click_expand_spot_detail_images,31,31
/popup/4433,2025-45,view_pass_store,69,77
/popup/4526,2025-45,view_pass_store,22,24
/popup/4214,2025-45,view_pass_store,89,121
/popup/5251,2026-02,view_pass_store,239,289
/popup/4924,2026-02,click_expand_spot_detail_images,83,93
/popup/5213,2026-02,click_expand_spot_detail_images,150,168
/popup/5196,2026-02,view_pass_store,153,191
/popup/3559,2025-40,view_pass_store,24,29
/popup/5965,2026-13,view_pass_store,36,38
/popup/5863,2026-13,view_pass_store,25,31
/popup/5971,2026-13,click_expand_spot_detail_images,71,84
/popup/5860,2026-13,click_expand_spot_detail_images,21,22
/popup/5875,2026-13,view_pass_store,115,132
/popup/6545,2026-19,view_pass_store,108,114
/popup/5740,2026-19,view_pass_store,22,24
/popup/6535,2026-19,view_pass_store,14,16
/popup/6351,2026-17,view_pass_store,182,284
/popup/6545,2026-17,view_pass_store,86,109
/popup/6428,2026-17,view_pass_store,492,617
/popup/4564,2026-17,view_pass_store,148,157
/popup/6174,2026-17,click_expand_spot_detail_images,255,288
/popup/6352,2026-17,view_pass_store,90,100
/popup/7449,2026-25,click_expand_spot_detail_images,75,84
/popup/6973,2026-25,click_expand_spot_detail_images,102,103
/popup/7447,2026-25,kakao_queue,71,195
/popup/5937,2026-12,view_pass_store,21,22
/popup/5843,2026-12,click_expand_spot_detail_images,106,129
/popup/5918,2026-12,view_pass_store,30,36
/popup/5785,2026-12,view_pass_store,67,84
/popup/6295,2026-20,view_pass_store,42,42
/popup/6972,2026-20,view_pass_store,55,61
/popup/6200,2026-20,view_pass_store,39,49
/popup/6989,2026-20,view_pass_store,80,100
/popup/7027,2026-20,view_pass_store,102,130
/popup/5295,2026-20,view_pass_store,15,15
/popup/5892,2026-20,view_pass_store,51,57
/popup/5455,2026-16,click_expand_spot_detail_images,30,30
/popup/6333,2026-16,view_pass_store,69,79
/popup/7980,2026-30,click_expand_spot_detail_images,408,538
/popup/7817,2026-30,click_expand_spot_detail_images,41,41
/popup/8146,2026-30,click_expand_spot_detail_images,37,38
/popup/7920,2026-30,click_expand_spot_detail_images,23,25
/popup/8169,2026-30,click_expand_spot_detail_images,102,105
/popup/4460,2025-44,view_pass_store,45,62
/popup/4732,2025-47,click_expand_spot_detail_images,65,76
/popup/4510,2025-47,view_pass_store,17,22
/popup/4615,2025-47,view_pass_store,48,62
/popup/4729,2025-47,click_expand_spot_detail_images,74,81
/popup/4726,2025-47,click_expand_spot_detail_images,152,168
/popup/4299,2025-47,view_pass_store,12,14
/popup/7143,2026-21,view_pass_store,36,42
/popup/6973,2026-21,view_pass_store,69,74
/popup/6726,2026-21,click_expand_spot_detail_images,49,52
/popup/7043,2026-21,click_expand_spot_detail_images,30,32
/popup/7125,2026-21,view_pass_store,15,15
/popup/5029,2026-07,view_pass_store,79,88
/popup/4421,2025-45,view_pass_store,23,26
/popup/4727,2025-48,view_pass_store,282,422
/popup/4597,2025-48,view_pass_store,17,22
/popup/4706,2025-48,click_expand_spot_detail_images,28,29
/popup/1629,2025-48,click_expand_spot_detail_images,72,72
/popup/1486,2026-07,view_pass_store,53,55
/popup/5386,2026-04,click_expand_spot_detail_images,364,441
/popup/5268,2026-04,click_expand_spot_detail_images,99,107
/popup/5252,2026-04,click_expand_spot_detail_images,158,177
/popup/5396,2026-04,click_expand_spot_detail_images,13,14
/popup/4899,2026-04,view_pass_store,1066,1510
/popup/5194,2026-04,view_pass_store,21,24
/popup/5140,2026-04,view_pass_store,15,16
/popup/4691,2026-04,view_pass_store,39,44
/popup/5345,2026-04,view_pass_store,133,174
/popup/2826,2026-04,view_pass_store,76,82
/popup/4747,2026-07,view_pass_store,30,31
/popup/5483,2026-07,click_expand_spot_detail_images,48,52
/popup/5033,2026-07,view_pass_store,124,141
/popup/5377,2026-07,click_expand_spot_detail_images,21,22
/popup/4287,2026-09,view_pass_store,36,39
/popup/4899,2026-09,view_pass_store,842,1124
/popup/5592,2026-09,view_pass_store,15,17
/popup/5669,2026-09,view_pass_store,55,63
/popup/5494,2026-09,click_expand_spot_detail_images,292,331
/popup/2090,2026-17,view_pass_store,69,72
/popup/6219,2026-17,view_pass_store,240,304
/popup/6261,2026-17,view_pass_store,47,55
/popup/6329,2026-17,click_expand_spot_detail_images,60,64
/popup/4710,2025-48,view_pass_store,140,210
/popup/5029,2026-04,view_pass_store,162,197
/popup/5342,2026-04,view_pass_store,604,875
/popup/5455,2026-16,view_pass_store,72,75
/popup/6314,2026-16,view_pass_store,37,40
/popup/6249,2026-16,kakao_queue,45,62
/popup/784,2026-16,view_pass_store,15,17
/popup/5803,2026-22,view_pass_store,31,37
/popup/4856,2026-23,view_pass_store,30,31
/popup/7148,2026-23,view_pass_store,12,16
/popup/2512,2026-23,view_pass_store,31,31
/popup/7108,2026-23,view_pass_store,21,25
/popup/7231,2026-23,view_pass_store,60,80
/popup/7313,2026-23,view_pass_store,74,92
/popup/5188,2026-02,click_expand_spot_detail_images,14,15
/popup/5246,2026-04,click_expand_spot_detail_images,18,18
/popup/5305,2026-04,view_pass_store,378,468
/popup/5282,2026-04,view_pass_store,84,102
/popup/5201,2026-04,view_pass_store,113,141
/popup/4794,2025-48,click_expand_spot_detail_images,49,55
/popup/4481,2025-48,click_expand_spot_detail_images,25,25
/popup/4352,2025-48,click_expand_spot_detail_images,33,34
/popup/4328,2025-48,view_pass_store,14,20
/popup/7134,2026-21,click_expand_spot_detail_images,43,45
/popup/6983,2026-21,view_pass_store,131,172
/popup/5713,2026-21,view_pass_store,149,172
/popup/4996,2026-21,view_pass_store,20,20
/popup/6978,2026-21,view_pass_store,146,183
/popup/5186,2026-08,view_pass_store,12,14
/popup/5489,2026-06,click_expand_spot_detail_images,59,65
/popup/5213,2026-06,view_pass_store,47,65
/popup/5386,2026-06,view_pass_store,223,301
/popup/5252,2026-06,click_expand_spot_detail_images,524,555
/popup/4762,2025-49,click_expand_spot_detail_images,175,191
/popup/4893,2025-49,click_expand_spot_detail_images,68,81
/popup/4832,2025-49,click_expand_spot_detail_images,40,43
/popup/4861,2025-49,click_expand_spot_detail_images,37,40
/popup/4017,2025-38,view_pass_store,142,227
/popup/5592,2026-08,view_pass_store,45,55
/popup/4897,2026-08,view_pass_store,62,62
/popup/5600,2026-08,view_pass_store,109,133
/popup/3513,2025-47,click_expand_spot_detail_images,14,14
/popup/4706,2025-47,click_expand_spot_detail_images,52,55
/popup/4326,2025-47,click_expand_spot_detail_images,42,45
/popup/4787,2025-48,click_expand_spot_detail_images,48,50
/popup/4580,2025-48,view_pass_store,86,101
/popup/4555,2025-45,click_expand_spot_detail_images,176,210
/popup/5419,2026-06,view_pass_store,54,68
/popup/2715,2025-44,view_pass_store,23,27
/popup/5675,2026-09,view_pass_store,151,187
/popup/5251,2026-09,view_pass_store,449,555
/popup/5698,2026-09,view_pass_store,84,99
/popup/5682,2026-09,click_expand_spot_detail_images,31,33
/popup/4666,2026-07,view_pass_store,32,46
/popup/3675,2025-36,kakao_queue,19,38
/popup/6083,2026-18,view_pass_store,3497,4176
/popup/6351,2026-18,click_expand_spot_detail_images,43,44
/popup/6369,2026-18,click_expand_spot_detail_images,117,123
/popup/6589,2026-18,click_expand_spot_detail_images,76,81
/popup/6560,2026-18,view_pass_store,34,37
/popup/6351,2026-18,view_pass_store,207,262
/popup/7921,2026-28,click_expand_spot_detail_images,102,114
/popup/7912,2026-28,click_expand_spot_detail_images,81,102
/popup/6029,2026-16,view_pass_store,41,44
/popup/6263,2026-16,view_pass_store,19,20
/popup/6175,2026-16,view_pass_store,128,159
/popup/4009,2026-16,view_pass_store,35,38
/popup/6236,2026-16,view_pass_store,84,89
/popup/6982,2026-21,view_pass_store,70,79
/popup/5035,2026-21,click_expand_spot_detail_images,14,14
/popup/6544,2026-21,view_pass_store,80,94
/popup/4564,2025-52,click_expand_spot_detail_images,42,50
/popup/4874,2025-52,view_pass_store,175,201
/popup/4795,2026-03,click_expand_spot_detail_images,115,132
/popup/5166,2026-03,view_pass_store,95,106
/popup/4771,2025-49,view_pass_store,322,892
/popup/4287,2025-49,view_pass_store,50,61
/popup/7031,2026-21,view_pass_store,50,52
/popup/7123,2026-21,view_pass_store,29,30
/popup/7111,2026-21,click_expand_spot_detail_images,40,44
/popup/4164,2025-47,click_expand_spot_detail_images,52,54
/popup/4481,2025-47,view_pass_store,60,72
/popup/6707,2026-20,view_pass_store,34,34
/popup/6920,2026-20,view_pass_store,70,80
/popup/5196,2026-03,click_expand_spot_detail_images,88,94
/popup/5251,2026-08,click_expand_spot_detail_images,182,206
/popup/5892,2026-17,view_pass_store,94,101
/popup/5948,2026-17,view_pass_store,201,234
/popup/6339,2026-17,click_expand_spot_detail_images,88,90
/popup/4278,2026-17,view_pass_store,44,48
/popup/6548,2026-17,view_pass_store,130,145
/popup/3559,2026-17,view_pass_store,43,48
/popup/5261,2026-17,view_pass_store,14,14
/popup/5412,2026-06,view_pass_store,22,37
/popup/5231,2026-06,view_pass_store,55,69
/popup/6184,2026-15,click_expand_spot_detail_images,98,102
/popup/5599,2026-15,view_pass_store,122,156
/popup/4651,2025-49,view_pass_store,124,147
/popup/4661,2025-49,click_expand_spot_detail_images,24,24
/popup/4447,2025-49,view_pass_store,60,76
/popup/6139,2026-15,view_pass_store,50,68
/popup/5946,2026-15,view_pass_store,44,50
/popup/5720,2026-15,view_pass_store,169,187
/popup/5979,2026-15,view_pass_store,19,23
/popup/6070,2026-15,view_pass_store,49,66
/popup/4662,2025-47,view_pass_store,32,38
/popup/4701,2025-47,view_pass_store,22,42
/popup/4170,2025-43,view_pass_store,43,54
/popup/4336,2025-43,view_pass_store,129,184
/popup/4421,2025-43,view_pass_store,80,105
/popup/5661,2026-09,view_pass_store,25,29
/popup/5674,2026-09,view_pass_store,215,262
/popup/5502,2026-09,click_expand_spot_detail_images,17,18
/popup/5438,2026-09,view_pass_store,36,48
/popup/7540,2026-25,click_expand_spot_detail_images,265,319
/popup/7159,2026-25,click_expand_spot_detail_images,22,23
/popup/4564,2025-50,click_expand_spot_detail_images,86,95
/popup/4352,2025-50,view_pass_store,33,39
/popup/6222,2026-15,view_pass_store,25,27
/popup/5971,2026-15,click_expand_spot_detail_images,30,31
/popup/4366,2026-03,view_pass_store,47,59
/popup/5060,2025-51,click_expand_spot_detail_images,92,106
/popup/4899,2025-51,click_expand_spot_detail_images,297,319
