project_code,gross,net,months,first_period,last_period
RXPU2417,3449996.0,580716.0,2,2024-11-01,2024-12-01
RCSN2310,8.2123763E7,1.7933564E7,2,2024-11-01,2024-12-01
SPJT2300,20000.0,20000.0,1,2024-11-01,2024-11-01
RCSN2418,5.6047898E7,2.0154296E7,3,2024-11-01,2025-01-01
RCSO2403,4295.0,-139905.0,2,2024-12-01,2025-01-01
RCSN2419,2.97407936E8,7.1789947E7,2,2024-12-01,2025-01-01
RCST2505,1.0785018E8,1.07829497E8,8,2025-01-01,2025-08-01
RCST2506,8.87019117E8,8.87019117E8,17,2025-01-01,2026-05-01
RCCP2502,4418795.0,4418795.0,2,2025-01-01,2025-02-01
RCCP2507,1.05353646E8,2.7477469E7,7,2025-01-01,2025-07-01
RCCP2501,1912884.0,1912884.0,2,2025-01-01,2025-02-01
RCCP2508,1.78902E7,1.78902E7,6,2025-01-01,2025-06-01
RCST2503,1.25114749E8,3.9506003E7,6,2025-01-01,2025-06-01
RCST2504,5.5261434E7,1.7734303E7,2,2025-01-01,2025-02-01
RCST2502,2.17501586E8,8.844576E7,8,2025-01-01,2025-09-01
RCST2501,2.07659655E8,6.6585545E7,7,2025-01-01,2025-07-01
RCST2507,2.47285551E8,2.44850478E8,16,2025-02-01,2026-05-01
RCCP2504,1.5212767E7,5324465.0,1,2025-02-01,2025-02-01
RCCP2509,1738016.0,1409516.0,2,2025-02-01,2025-03-01
RCCP2505,1.4808811E7,1.3206856E7,2,2025-02-01,2025-03-01
RTPU2507,2.0263158E7,1.4009994E7,2,2025-02-01,2025-03-01
RXST2501,1.049744972E9,7.78214547E8,15,2025-03-01,2026-05-01
RCCP2512,1362211.0,1362211.0,1,2025-04-01,2025-04-01
RCCP2510,4127397.0,4127397.0,1,2025-04-01,2025-04-01
RCCP2513,1356641.0,1356641.0,1,2025-04-01,2025-04-01
RXPU2502,2.7839403E7,3732511.0,1,2025-04-01,2025-04-01
RCCP2511,1.855589E7,6380750.0,2,2025-04-01,2025-05-01
RCST2509,9.2238104E7,9.2143571E7,5,2025-04-01,2025-08-01
RCCP2516,311490.0,311490.0,1,2025-04-01,2025-04-01
RTPU2521,7.6787283E7,6.1381727E7,2,2025-04-01,2025-05-01
RTPU2519,1.4913171E7,1.4627421E7,2,2025-04-01,2025-05-01
RCCP2515,2333014.0,2333014.0,1,2025-05-01,2025-05-01
RCCP2514,1.2480481E7,1.2480481E7,1,2025-05-01,2025-05-01
RTPU2541,3606361.0,3606361.0,1,2025-05-01,2025-05-01
RCCP2517,1.01730907E8,2.4417656E7,2,2025-06-01,2025-07-01
RTPU2518,2.1540651E8,2.15343055E8,2,2025-06-01,2025-07-01
RCCP2518,1786943.0,1786943.0,2,2025-06-01,2025-07-01
RXST2502,1.91068099E8,1.87353775E8,11,2025-07-01,2026-05-01
RTPU2553,288453.0,288453.0,1,2025-07-01,2025-07-01
RXST2503,4.09959093E8,4.09959093E8,10,2025-08-01,2026-05-01
RCPU2544,1.1135359E7,1.1135359E7,3,2025-08-01,2025-10-01
RXST2505,6.933108E7,2.2973873E7,5,2025-09-01,2026-05-01
RTPU2534,4.85802028E8,2.41365553E8,3,2025-09-01,2025-11-01
RXST2504,1.891093178E9,8.18581128E8,9,2025-09-01,2026-05-01
RTPU2570,6324544.0,6324544.0,1,2025-10-01,2025-10-01
RTPU2575,5835587.0,3213509.0,2,2025-11-01,2025-12-01
RTPU2580,1795498.0,1795498.0,1,2025-11-01,2025-11-01
RTPU2577,621408.0,621408.0,1,2025-11-01,2025-11-01
RXST2506,2.6798585E7,2.6798585E7,3,2025-12-01,2026-02-01
ROPU2501,9398382.0,8782152.0,2,2025-12-01,2026-01-01
RTPU2609,3000000.0,3000000.0,1,2026-01-01,2026-01-01
RTPU2611,7.0894728E7,6.9398971E7,3,2026-02-01,2026-04-01
RCPU2607,2.563340818E9,0.0,1,2026-02-01,2026-02-01
RIPU2605,1.50010545E8,0.0,1,2026-02-01,2026-02-01
RIPU2601,1.72385815E8,0.0,2,2026-02-01,2026-03-01
RIPU2602,6860854.0,-10.0,1,2026-04-01,2026-04-01
RXST2607,1.4870604E7,1.4870604E7,2,2026-04-01,2026-05-01
